title,date,contributors,slug,images,videos,proteins,products,topics,regions,flags,directory,description,body,ID,image_caption,link,resource_type
"Decellularized spinach: An edible scaffold for laboratory-grown meat",2021-03-31T03:11:29-0400,,/research/decellularized-spinach-edible-scaffold-laboratory-grown-meat,,,,,,,,,"It is projected that by the year 2050, there will be insufficient land suitable for agriculture to feed the world. Cellular agriculture has the potential to produce meat that replicates the structure of traditionally produced meat while minimizing the land needed. There is a need for an edible scaffold suitable for the growth of animal muscle. This study showed that decellularizing spinach leaves produced an edible scaffold that has a vascular network that could potentially maintain the viability of primary bovine satellite cells as they develop into meat.","<p>It is projected that by the year 2050, there will be insufficient land suitable for agriculture to feed the world. Cellular agriculture has the potential to produce meat that replicates the structure of traditionally produced meat while minimizing the land needed. There is a need for an edible scaffold suitable for the growth of animal muscle. This study showed that decellularizing spinach leaves produced an edible scaffold that has a vascular network that could potentially maintain the viability of primary bovine satellite cells as they develop into meat. Primary bovine satellite cells were cultured on the surface of decellularized spinach leaves and gelatin coated glass for 7 and 14 days. After 14 days, primary bovine satellite cells seeded on the decellularized leaf scaffold maintained ~99% viability; and ~25% of the cells showed expression of myosin heavy-chain. Cell alignment varied between animals from which the cells were acquired. Areas of alignment were observed showing an average kappa value for cytoskeletal alignment of 0.71 ± 0.1 after 14 days in culture. There was no statistical significance in each category between cells cultured on gelatin coated glass and decellularized spinach leaves. These results suggested that decellularized spinach is a cost-efficient and environmentally friendly scaffold, that can potentially accelerate the development of laboratory-grown meat by providing an edible substrate for bovine satellite&nbsp;cells.</p>",8684,,https://www.sciencedirect.com/science/article/pii/S2212429221001115,"Academic Research"
"Technological Review of Algae-based Proteins for Alternative Protein Applications",2021-03-30T02:41:19-0400,,/research/technological-review-algae-based-proteins-alternative-protein-applications,https://www.proteinreport.org/sites/default/files/2021-03/Background-image_algae.png,,Algae,"Meat, Dairy, Eggs, Seafood, Ingredients","Business, Sci-Tech",Asia,,,"The Good Food Institute India’s mission to accelerate the alternative protein sector includes exploring diverse, sustainable protein sources in India and around the globe. This analysis on algal protein is the first in our protein sources strategic analysis series. The presence of already established companies producing food-grade microalgae and the potential to utilize India’s 8100 km long coastline for seaweed cultivation provides the foundation for the algal protein industry. But the industry in India is at a nascent stage.","<p>The Good Food Institute India’s mission to accelerate the alternative protein sector includes exploring diverse, sustainable protein sources in India and around the globe. This analysis on algal protein is the first in our protein sources strategic analysis series. The presence of already established companies producing food-grade microalgae and the potential to utilize India’s 8100 km long coastline for seaweed cultivation provides the foundation for the algal protein industry. But the industry in India is at a nascent stage. Our report ‘Technological Review of Algae-based Proteins’ is a result of a strategic assessment of the algal value chain from strain selection to protein extraction, with the aim to inform stakeholders in the Indian market about pivotal and potentially lucrative interventions required to develop the algal protein sector.</p>",8675,"report cover",https://www.gfi.org.in/microalgae-and-seaweed-proteins-as-alternative-proteins/,"Industry Report"
"Food for Thought: The Protein Transformation",2021-03-24T09:47:29-0400,,/research/food-thought-protein-transformation,https://www.proteinreport.org/sites/default/files/2021-03/cover.jpg,,"Cell-Based, Plant-Based, Microbial","Meat, Dairy, Eggs, Seafood",Business,International,,,"The world’s consumers love animal-based protein—so much so that in 2020 they ate 574 million metric tons’ worth of meat, seafood, dairy, and eggs—almost 75 kilograms per person. Moreover, the amount consumed is still increasing, especially in developing&nbsp;markets.","<p>The world’s consumers love animal-based protein—so much so that in 2020 they ate 574 million metric tons’ worth of meat, seafood, dairy, and eggs—almost 75 kilograms per person. Moreover, the amount consumed is still increasing, especially in developing&nbsp;markets.</p>",8648,"report cover",https://www.bcg.com/publications/2021/the-benefits-of-plant-based-meats,"Industry Report"
"2020 State of the Industry: Australia&#039;s Plant-Based Meat Sector",2021-03-15T04:49:51-0400,,/research/2020-state-industry-australias-plant-based-meat-sector,https://www.proteinreport.org/sites/default/files/2021-03/Report%20Cover_0.jpg,,"Cell-Based, Plant-Based",Meat,Business,Oceania,,,"FY20 saw exponential growth for Australia’s plant-based meat sector, driven by increasing consumer interest and new commercial entrants. Even amidst the significant impacts of COVID-19, the Australian sector doubled its jobs, manufacturing revenue and number of products on shelves from 2019-2020.
This report features new economic analysis by Deloitte Access Economics and explores how business, agriculture and government in Australia can benefit from this emerging industry’s growth trajectory, projected to reach $3 billion by 2030.","<p>FY20 saw exponential growth for Australia’s plant-based meat sector, driven by increasing consumer interest and new commercial entrants. Even amidst the significant impacts of COVID-19, the Australian sector doubled its jobs, manufacturing revenue and number of products on shelves from 2019-2020.</p>
<p>This report features new economic analysis by Deloitte Access Economics and explores how business, agriculture and government in Australia can benefit from this emerging industry’s growth trajectory, projected to reach $3 billion by 2030.</p>",8590,"Report cover",https://www.foodfrontier.org/reports/,"Industry Report"
"LCA of cultivated meat. Future projections for different scenarios",2021-03-13T02:51:56-0500,,/research/lca-cultivated-meat-future-projections-different-scenarios,https://www.proteinreport.org/sites/default/files/2021-03/090224_logo_CE-Delft_RGB_kleur.png,,Cell-Based,Meat,Environment,International,,,"In this prospective Life Cycle Assessment (LCA) study of cultivated meat (CM, also sometimes referred to as cell-based meat, clean meat, cultured meat and in-vitro meat) we provide insight into the environmental impact of this product when produced at commercial&nbsp;scales.","<p>In this prospective Life Cycle Assessment (<span class=""caps"">LCA</span>) study of cultivated meat (<span class=""caps"">CM</span>, also sometimes referred to as cell-based meat, clean meat, cultured meat and in-vitro meat) we provide insight into the environmental impact of this product when produced at commercial&nbsp;scales.</p>",8586,cover,https://www.cedelft.eu/en/publications/2610/lca-of-cultivated-meat-future-projections-for-different-scenarios,"Industry Report"
"TEA of cultivated meat. Future projections of different scenarios",2021-03-13T02:51:56-0500,,/research/tea-cultivated-meat-future-projections-different-scenarios,https://www.proteinreport.org/sites/default/files/2021-03/090224_logo_CE-Delft_RGB_kleur_0.png,,Cell-Based,Meat,"Business, Sci-Tech",International,,,"This report provides a Techno-Economic Analysis of industrial scale production of cultivated meat (CM) as projected for the&nbsp;2030s.","<p>This report provides a Techno-Economic Analysis of industrial scale production of cultivated meat (<span class=""caps"">CM</span>) as projected for the&nbsp;2030s.</p>",8587,cover,https://www.cedelft.eu/en/publications/2609/tea-of-cultivated-meat-future-projections-of-different-scenarios,"Industry Report"
"Cultivating Multidisciplinarity: Manufacturing and Sensing Challenges in Cultured Meat Production",2021-03-09T10:07:06-0500,,/research/cultivating-multidisciplinarity-manufacturing-and-sensing-challenges-cultured-meat,,,Cell-Based,Meat,Sci-Tech,International,,,"United Nations estimates that by the year 2050, the population of nearly 10 billion people will have 70% higher food demands than the current food systems can provide for. This needs to be observed in the context of the on-going climate change and related negative effects of the traditional agriculture. Conventional livestock-based value chains contribute to the high greenhouse gas emissions. Meat cultivation via cellular agriculture holds great promise as a method for future food production.","<p>United Nations estimates that by the year 2050, the population of nearly 10 billion people will have 70% higher food demands than the current food systems can provide for. This needs to be observed in the context of the on-going climate change and related negative effects of the traditional agriculture. Conventional livestock-based value chains contribute to the high greenhouse gas emissions. Meat cultivation via cellular agriculture holds great promise as a method for future food production. Theoretically, it is an ideal way of meat production, humane to the animals and sustainable for the environment, while keeping the same taste and nutritional values as traditional meat. However, in practice, there is still a number of challenges such as large-scale production, regulatory compliance and consumer acceptance. To address these challenges a multidisciplinary approach is necessary. In this optic, we present an overview of the sensor monitoring options for the most relevant parameters for cultured meat bioprocess. Various examples of the sensors to potentially apply in cultured meat production are provided, as well as the options for their integration into different types of bioreactors. Furthermore, we briefly present the current status of the cultured meat research and regulation, societal aspects and its&nbsp;commercialization.</p>",8563,,https://www.mdpi.com/2079-7737/10/3/204,"Academic Research"
"Are Plant-Based Analogues Replacing Cow’s Milk in the American Diet?",2021-02-02T10:09:30-0500,,/research/are-plant-based-analogues-replacing-cows-milk-american-diet,,,"Plant-Based, Animal",Dairy,Business,"US &amp; Canada",,,"Retail sales of fluid cow’s milk are decreasing while those of plant-based milk analogues are increasing. In this study, we model the relationship between households’ purchases of both types of products and perform simulations. Results show that growing consumer demand for plant-based products is causing cow’s milk sales to decline somewhat faster than otherwise. However, plant-based products are not a primary driver of sales trends for cow’s milk. The decline in cow’s milk sales is substantially greater than the rise in sales of plant-based&nbsp;analogues.","<p>Retail sales of fluid cow’s milk are decreasing while those of plant-based milk analogues are increasing. In this study, we model the relationship between households’ purchases of both types of products and perform simulations. Results show that growing consumer demand for plant-based products is causing cow’s milk sales to decline somewhat faster than otherwise. However, plant-based products are not a primary driver of sales trends for cow’s milk. The decline in cow’s milk sales is substantially greater than the rise in sales of plant-based&nbsp;analogues.</p>",8387,,https://www.cambridge.org/core/journals/journal-of-agricultural-and-applied-economics/article/are-plantbased-analogues-replacing-cows-milk-in-the-american-diet/F78AE2E32B77214BD3D26A060EC70451,"Academic Research"
"Benchmarking Canada’s Agri-Food Sustainability Leadership | A Roadmap",2021-01-28T10:27:13-0500,,/research/benchmarking-canadas-agri-food-sustainability-leadership-roadmap,https://www.proteinreport.org/sites/default/files/2021-01/social.jpg,,"Plant-Based, Animal","Meat, Ingredients",Environment,"US &amp; Canada",,,"A diverse coalition of twenty-two partners have come together to consider the need for developing a national sustainability benchmark for Canada’s agri-food sector. By concluding phase one of a broader plan to advance this matter, this report focuses n examining why better benchmarking is needed, how it can be expressed and what value it confers to society, sector competitiveness and policy-making. This current work will be used immediately to engage even more Canadian agri-food stakeholders, setting the stage for phase two to proceed, if embraced by agri-food&nbsp;leaders.","<p>A diverse coalition of twenty-two partners have come together to consider the need for developing a national sustainability benchmark for Canada’s agri-food sector. By concluding phase one of a broader plan to advance this matter, this report focuses n examining why better benchmarking is needed, how it can be expressed and what value it confers to society, sector competitiveness and policy-making. This current work will be used immediately to engage even more Canadian agri-food stakeholders, setting the stage for phase two to proceed, if embraced by agri-food&nbsp;leaders.</p>",8348,"report cover",https://www.proteinindustriescanada.ca/news/report-champions-a-new-sustainability-index-for-canadas-agri-food-sector,"Industry Report"
"Meating Demand – The lean, green money-making machine",2020-12-24T01:49:43-0500,,/research/meating-demand-lean-green-money-making-machine,https://www.proteinreport.org/sites/default/files/2020-12/thumbnail_image001.jpg,,Plant-Based,Meat,Business,International,,,"Global meat market revenues are expected to almost double over the next 20 years; however, its growth looks set to be driven by the plant- and cell-based meat subsectors. Plant-based products should dominate the meat alternatives space over the next five years, where innovation is creating a credible consumer proposition. Products can now mimic the sensory profile of conventional meat, where tastes and textures offer a meat-like experience.","<p>Global meat market revenues are expected to almost double over the next 20 years; however, its growth looks set to be driven by the plant- and cell-based meat subsectors. Plant-based products should dominate the meat alternatives space over the next five years, where innovation is creating a credible consumer proposition. Products can now mimic the sensory profile of conventional meat, where tastes and textures offer a meat-like experience. Kearney estimates that revenue for the global plant-based meat market is projected to grow from <span class=""caps"">US</span>$46bn to <span class=""caps"">US</span>$120bn between 2018 and 2025, representing a 15% <span class=""caps"">CAGR</span>. Longer-term growth projections vary greatly, with revenue estimates for the global market in 2030 ranging from $140bn (Barclays) to $252bn (Kearney). The number of companies entering the market is proliferating, including a number of large multinationals that can support significant <span class=""caps"">R&amp;D</span> investment. That said, the plant-based meat market is still in its infancy and faces several headwinds, including the threat of competition and regulatory&nbsp;scrutiny.</p>",8171,"report cover",https://www.edisongroup.com/investment-themes/meat-alternatives-an-investment-analysis/28097/,"Industry Report"
"The Global Status of Seaweed Production, Trade and Utilization",2020-12-19T16:07:56-0500,,/research/global-status-seaweed-production-trade-and-utilization,https://www.proteinreport.org/sites/default/files/2020-12/report%20cover_0.jpg,,Algae,Ingredients,Business,International,,,"This report is an update of the status of the global seaweed market: production figures from culture and capture, the size of the international market for seaweed and its commercially important extracts, the leading nations by region, developments in processing and utilization technology, and innovations in the industry, as well as the challenges and outlook for the industry.","<p>This report is an update of the status of the global seaweed market: production figures from culture and capture, the size of the international market for seaweed and its commercially important extracts, the leading nations by region, developments in processing and utilization technology, and innovations in the industry, as well as the challenges and outlook for the industry.</p>
<p>As it is not possible to feature all individual countries of importance in the seaweed sector, several have been selected as being representative of the different regions of the world: Asia [China, Indonesia, the Republic of Korea, Malaysia, the Philippines, Singapore and Thailand); South America (Chile); Europe (Denmark, the European Union); and Africa<br />
(Morocco, South Africa and Zanzibar (Tanzania)]. The sections on Chile, China, Denmark and South Africa are based largely on previous studies commissioned by the Food and Agriculture Organization (FAO).</p>",8153,"fao seaweed report cover",http://www.fao.org/in-action/globefish/publications/details-publication/en/c/1154074/,"Industry Report"
"The Myth of Cultured Meat: A Review",2020-12-17T15:19:52-0500,,/research/myth-cultured-meat-review,,,,,,,,,"To satisfy the increasing demand for food by the growing human population, cultured meat (also called in vitro, artificial or lab-grown meat) is presented by its advocates as a good alternative for consumers who want to be more responsible but do not wish to change their&nbsp;diet.","<p>To satisfy the increasing demand for food by the growing human population, cultured meat (also called in vitro, artificial or lab-grown meat) is presented by its advocates as a good alternative for consumers who want to be more responsible but do not wish to change their&nbsp;diet.</p>",8139,,https://www.frontiersin.org/article/10.3389/fnut.2020.00007/full,"Academic Research"
"Engineering carotenoid production in mammalian cells for nutritionally enhanced cell-cultured foods",2020-12-16T14:35:59-0500,,/research/engineering-carotenoid-production-mammalian-cells-nutritionally-enhanced-cell-cultured,,,Cell-Based,Meat,Sci-Tech,,,,"Metabolic engineering of mammalian cells has to-date focused primarily on biopharmaceutical protein production or the manipulation of native metabolic processes towards therapeutic aims. However, significant potential exists for expanding these techniques to diverse applications by looking across the taxonomic tree to bioactive metabolites not synthesized in animals. Namely, cross-taxa metabolic engineering of mammalian cells could offer value in applications ranging fromfood and nutrition to regenerative medicine and gene therapy.","<p>Metabolic engineering of mammalian cells has to-date focused primarily on biopharmaceutical protein production or the manipulation of native metabolic processes towards therapeutic aims. However, significant potential exists for expanding these techniques to diverse applications by looking across the taxonomic tree to bioactive metabolites not synthesized in animals. Namely, cross-taxa metabolic engineering of mammalian cells could offer value in applications ranging fromfood and nutrition to regenerative medicine and gene therapy. Towards the former, recent advances in meat production through cell culture suggest the potential to produce meat with fine cellular control, where tuning composition through cross-taxa metabolic engineering could enhance nutrition and food-functionality. Here we demonstrate this possibility by engineering primary bovine and immortalized murine muscle cells with prokaryotic enzymes to endogenously produce the antioxidant carotenoids phytoene, lycopene and β-carotene. These phytonutrients offer general nutritive value and protective effects against diseases associated with red and processed meat consumption, and so offer a promising proof-of-concept for nutritional engineering in cultured meat. We demonstrate the phenotypic integrity of engineered cells, the ability to tune carotenoid yields, and the antioxidant functionality of these compounds in vitro towards both nutrition and food-quality objectives. Our results demonstrate the potential for tailoring the nutritional profile of cultured meats. They further lay a foundation for heterologous metabolic engineering of mammalian cells for applications outside of the clinical&nbsp;realm.</p>",8135,,https://www.sciencedirect.com/science/article/abs/pii/S1096717620301208,"Academic Research"
"Plant-based and cell-based approaches to meat production",2020-12-15T15:10:36-0500,,/research/plant-based-and-cell-based-approaches-meat-production,,,"Cell-Based, Plant-Based",Meat,"Health, Business, Environment",,,,"Advances in farming technology and intensification of animal agriculture increase the cost-efficiency and production volume of meat. Thus, in developed nations, meat is relatively inexpensive and accessible. While beneficial for consumer satisfaction, intensive meat production inflicts negative externalities on public health, the environment and animal welfare. In response, groups within academia and industry are working to improve the sensory characteristics of plant-based meat and pursuing nascent approaches through cellular agriculture methodology (i.e., cell-based meat).","<p>Advances in farming technology and intensification of animal agriculture increase the cost-efficiency and production volume of meat. Thus, in developed nations, meat is relatively inexpensive and accessible. While beneficial for consumer satisfaction, intensive meat production inflicts negative externalities on public health, the environment and animal welfare. In response, groups within academia and industry are working to improve the sensory characteristics of plant-based meat and pursuing nascent approaches through cellular agriculture methodology (i.e., cell-based meat). Here we detail the benefits and challenges of plant-based and cell-based meat alternatives with regard to production efficiency, product characteristics and impact&nbsp;categories.</p>",8122,,https://www.nature.com/articles/s41467-020-20061-y,"Academic Research"
"Barriers and facilitators towards adopting a more plant-based diet in a sample of Danish consumers",2020-12-12T00:54:22-0500,,/research/barriers-and-facilitators-towards-adopting-more-plant-based-diet-sample-danish-consumers,,,,,,,,,"Replacement of animal-based products with plant-based products promotes environmental sustainability and reduces the risk of cardiovascular diseases and type 2 diabetes. Consumers are aware of recommendations towards healthier and more sustainable food consumption, but often they do not follow them. The aim of this study was to examine barriers and facilitators towards adopting a more plant-based diet among Danish consumers. Data was collected through an online survey during October 2017. The topics in the questionnaire was based on recent findings from published literature on the subject.","<p>Replacement of animal-based products with plant-based products promotes environmental sustainability and reduces the risk of cardiovascular diseases and type 2 diabetes. Consumers are aware of recommendations towards healthier and more sustainable food consumption, but often they do not follow them. The aim of this study was to examine barriers and facilitators towards adopting a more plant-based diet among Danish consumers. Data was collected through an online survey during October 2017. The topics in the questionnaire was based on recent findings from published literature on the subject. A total of 462 consumers were segmented based on their frequency intake of animal-based products. Segments were characterized by their attitudes towards plant-based diets using a logistic regression. Four segments were identified: Low All (n = 220), High All (n = 70), High Meat (n = 48), and High Dairy (n = 124). Negative attitudes about protein content, satiety effect, taste, environmental and health effects were identified as barriers towards adopting a more plant-based diet, for segments with a high intake of either meat or all animal products. The segment with a low intake of animal products held positive attitudes towards the ease of cooking, taste, protein content, satiety effect, and availability of plant-based food, indicating that these attitudes serve as facilitators towards adopting a more plant-based diet. The results can be used to inform industry and targeted health campaigns towards promoting plant-based diets in Denmark and similar&nbsp;countries.</p>",8103,,https://www.sciencedirect.com/science/article/abs/pii/S0950329318304348,"Academic Research"
"Analysis and valuation of the health and climate change cobenefits of dietary change",2020-12-12T00:54:22-0500,,/research/analysis-and-valuation-health-and-climate-change-cobenefits-dietary-change,,,,,,,,,"What we eat greatly influences our personal health and the environment we all share. Recent analyses have highlighted the likely dual health and environmental benefits of reducing the fraction of animal-sourced foods in our diets. Here, we couple for the first time, to our knowledge, a region-specific global health model based on dietary and weight-related risk factors with emissions accounting and economic valuation modules to quantify the linked health and environmental consequences of dietary changes.","<p>What we eat greatly influences our personal health and the environment we all share. Recent analyses have highlighted the likely dual health and environmental benefits of reducing the fraction of animal-sourced foods in our diets. Here, we couple for the first time, to our knowledge, a region-specific global health model based on dietary and weight-related risk factors with emissions accounting and economic valuation modules to quantify the linked health and environmental consequences of dietary changes. We find that the impacts of dietary changes toward less meat and more plant-based diets vary greatly among regions. The largest absolute environmental and health benefits result from diet shifts in developing countries whereas Western high-income and middle-income countries gain most in per capita terms. Transitioning toward more plant-based diets that are in line with standard dietary guidelines could reduce global mortality by 6–10% and food-related greenhouse gas emissions by 29–70% compared with a reference scenario in 2050. We find that the monetized value of the improvements in health would be comparable with, or exceed, the value of the environmental benefits although the exact valuation method used considerably affects the estimated amounts. Overall, we estimate the economic benefits of improving diets to be 1–31 trillion <span class=""caps"">US</span> dollars, which is equivalent to 0.4–13% of global gross domestic product (<span class=""caps"">GDP</span>) in 2050. However, significant changes in the global food system would be necessary for regional diets to match the dietary patterns studied&nbsp;here.</p>",8104,,http://www.pnas.org/content/113/15/4146,"Academic Research"
"Reducing food’s environmental impacts through producers and consumers",2020-12-12T00:54:22-0500,,/research/reducing-foods-environmental-impacts-through-producers-and-consumers,,,,,,,,,"Food’s environmental impacts are created by millions of diverse producers. To identify solutions that are effective under this heterogeneity, we consolidated data covering five environmental indicators; 38,700 farms; and 1600 processors, packaging types, and retailers. Impact can vary 50-fold among producers of the same product, creating substantial mitigation opportunities. However, mitigation is complicated by trade-offs, multiple ways for producers to achieve low impacts, and interactions throughout the supply chain. Producers have limits on how far they can reduce impacts.","<p>Food’s environmental impacts are created by millions of diverse producers. To identify solutions that are effective under this heterogeneity, we consolidated data covering five environmental indicators; 38,700 farms; and 1600 processors, packaging types, and retailers. Impact can vary 50-fold among producers of the same product, creating substantial mitigation opportunities. However, mitigation is complicated by trade-offs, multiple ways for producers to achieve low impacts, and interactions throughout the supply chain. Producers have limits on how far they can reduce impacts. Most strikingly, impacts of the lowest-impact animal products typically exceed those of vegetable substitutes, providing new evidence for the importance of dietary change. Cumulatively, our findings support an approach where producers monitor their own impacts, flexibly meet environmental targets by choosing from multiple practices, and communicate their impacts to&nbsp;consumers.</p>",8102,,https://science.sciencemag.org/content/360/6392/987,"Academic Research"
"Asian Cropportunities",2020-12-07T10:06:37-0500,,/research/asian-cropportunities,https://www.proteinreport.org/sites/default/files/2020-12/report%20cover.jpg,,Plant-Based,Ingredients,Business,Asia,,,"A comprehensive summary of the many lucrative opportunities for Asian nations to supply raw materials for plant-based meat production.","<p>A comprehensive summary of the many lucrative opportunities for Asian nations to supply raw materials for plant-based meat production.</p>
<p>This report is aimed at the visionaries—whether you are an entrepreneur starting a plant-based venture, an investor searching for the next big thing, a food manufacturer seeking to diversify into plant-based offerings, or a policymaker looking for ways to capitalize on a rising sector and boost your country’s economy. After taking a close look at the fourteen raw materials and seven Asian countries featured in this report, you may find yourself asking “Am I sitting on a gold mine and just need to start digging?”</p>",8067,"Asia Cropportunities report cover",https://www.gfi-apac.org/resources/asian-cropportunities/,"Industry Report"
"European Markets for Cultured Meat: A Comparison of Germany and France",2020-11-16T09:59:31-0500,,/research/european-markets-cultured-meat-comparison-germany-and-france,,,Cell-Based,Meat,Business,,,,"The negative impacts of meat consumption for animals, the environment, and human health are more pressing than ever. Although some evidence points to an ongoing reduction in meat consumption in Europe, consumers are overall unwilling to cut their meat consumption in a substantial way. The present study investigates dietary identities and perceptions of cultured meat in nationally representative samples from Germany (n = 1000) and France (n = 1000).","<p>The negative impacts of meat consumption for animals, the environment, and human health are more pressing than ever. Although some evidence points to an ongoing reduction in meat consumption in Europe, consumers are overall unwilling to cut their meat consumption in a substantial way. The present study investigates dietary identities and perceptions of cultured meat in nationally representative samples from Germany (n = 1000) and France (n = 1000). Participants were recruited through an Ipsos panel to answer an online survey, which included questions about their current and intended consumption of conventional meat, as well as questions about their opinions of cultured meat. We find that, whilst rates of vegetarianism were relatively low in France, unrestricted meat-eaters were a minority in Germany, and concern for animal welfare was the most common reason given for meat reduction. Substantial markets for cultured meat exist in both countries, although German consumers are significantly more open to the concept than the French. Strikingly, cultured meat acceptance is significantly higher amongst agricultural and meat workers, indicating that those who are closest to existing meat production methods are most likely to prefer alternatives. We found some evidence that pro-cultured meat messages, which focus on antibiotic resistance and food safety, are significantly more persuasive than those that focus on animals or the environment. Furthermore, consumers project that they would be significantly more likely to consume cultured meat that does not contain genetically modified ingredients. Overall, we find substantially large markets for cultured meat in Germany and France, and identify some potential ways to further increase acceptance in these markets. We conclude by highlighting the most promising markets for cultured meat, and highlighting a lack of antibiotics as a potentially persuasive message about cultured&nbsp;meat.</p>",7974,,https://www.mdpi.com/2304-8158/9/9/1152,"Academic Research"
"Scale-Up Technologies for the Manufacture of Adherent Cells",2020-11-04T08:41:42-0500,,/research/scale-technologies-manufacture-adherent-cells,,,Cell-Based,Meat,Sci-Tech,,,,"Great importance is being given to the impact our food supply chain and consumers’ food habits are having on the environment, human health, and animal welfare. One of the latest developments aiming at positively changing the food ecosystem is represented by cultured meat. This form of cellular agriculture has the objective to generate slaughter-free meat products starting from the cultivation of few cells harvested from the animal tissue of interest. As a consequence, a large number of cells has to be generated at a reasonable cost.","<p>Great importance is being given to the impact our food supply chain and consumers’ food habits are having on the environment, human health, and animal welfare. One of the latest developments aiming at positively changing the food ecosystem is represented by cultured meat. This form of cellular agriculture has the objective to generate slaughter-free meat products starting from the cultivation of few cells harvested from the animal tissue of interest. As a consequence, a large number of cells has to be generated at a reasonable cost. Just to give an idea of the scale, there were billions of cells just in a bite of the first cultured-meat burger. Thus, one of the major challenges faced by the scientists involved in this new ambitious and fascinating field, is how to efficiently scale-up cell manufacture. Considering the great potential presented by cultured meat, audiences from different backgrounds are very interested in this topic and eager to be informed of the challenges and possible solutions in this area. In light of this, we will provide an overview of the main existing bioprocessing technologies used to scale-up adherent cells at a small and large scale. Thus, giving a brief technical description of these bioprocesses, with the main associated advantages and disadvantages. Moreover, we will introduce an alternative solution we believe has the potential to revolutionize the way adherent cells are grown, helping cultured meat become a&nbsp;reality.</p>",7919,,https://www.frontiersin.org/article/10.3389/fnut.2020.575146/full,"Academic Research"
"IPBES Workshop on Biodiversity and Pandemics",2020-11-01T04:40:15-0500,,/research/ipbes-workshop-biodiversity-and-pandemics,https://www.proteinreport.org/sites/default/files/2020-11/Untitled%20design%20%2812%29.jpg,,Animal,"Meat, Dairy, Eggs","Environment, Health, Policy",International,,,"Future pandemics will emerge more often, spread more rapidly, do more damage to the world economy and kill more people than COVID-19 unless there is a transformative change in the global approach to dealing with infectious diseases, warns a major new report on biodiversity and pandemics by 22 leading experts from around the world.","<p>Future pandemics will emerge more often, spread more rapidly, do more damage to the world economy and kill more people than COVID-19 unless there is a transformative change in the global approach to dealing with infectious diseases, warns a major new report on biodiversity and pandemics by 22 leading experts from around the world.</p>
<p>Convened by the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (<a href=""http://www.ipbes.net/"">IPBES</a>) for an urgent virtual workshop about the links between degradation of nature and increasing pandemic risks, the experts agree that escaping the era of pandemics is possible, but that this will require a seismic shift in approach from reaction to prevention.</p>
<p>COVID-19 is at least the sixth global health pandemic since the Great Influenza Pandemic of 1918, and although it has its origins in microbes carried by animals, like all pandemics its emergence has been entirely driven by human activities, says the report released on Thursday. It is estimated that another 1.7 million currently ‘undiscovered’ viruses exist in mammals and birds – of which up to 850,000 could have the ability to infect people.</p>
<p>“There is no great mystery about the cause of the COVID-19 pandemic – or of any modern pandemic”, said Dr. Peter Daszak, President of <a href=""https://www.ecohealthalliance.org/personnel/dr-peter-daszak"">EcoHealth Alliance</a> and Chair of the IPBES workshop. “The same human activities that drive climate change and biodiversity loss also drive pandemic risk through their impacts on our environment. Changes in the way we use land; the expansion and intensification of agriculture; and unsustainable trade, production and consumption disrupt nature and increase contact between wildlife, livestock, pathogens and people. This is the path to pandemics.”</p>",7901,report,https://ipbes.net/pandemics,"Industry Report"
"Growth of meat and dairy alternatives is stirring up the European food industry",2020-10-22T09:47:10-0400,,/research/growth-meat-and-dairy-alternatives-stirring-european-food-industry,https://www.proteinreport.org/sites/default/files/2020-10/cover.jpg,,Plant-Based,"Meat, Dairy",Business,Europe,,,"European retail sales of meat and dairy alternatives have grown by almost 10% per year between 2010 and 2020, but alternatives still represent a very small share of the market.  At ING, we estimate that the plant-based alternatives food market in the EU and the UK will be worth €7.5 billion by 2025, compared to €4.4 billion in&nbsp;2019.","<p>European retail sales of meat and dairy alternatives have grown by almost 10% per year between 2010 and 2020, but alternatives still represent a very small share of the market.  At <span class=""caps"">ING</span>, we estimate that the plant-based alternatives food market in the <span class=""caps"">EU</span> and the <span class=""caps"">UK</span> will be worth €7.5 billion by 2025, compared to €4.4 billion in&nbsp;2019.</p>",7854,"report cover",https://think.ing.com/reports/growth-of-meat-and-dairy-alternatives-is-stirring-up-the-european-food-industry/,"Industry Report"
"Fermentation: An introduction to a pillar of the alternative protein industry",2020-09-18T04:16:59-0400,,/research/fermentation-introduction-pillar-alternative-protein-industry,https://www.proteinreport.org/sites/default/files/2020-09/cover.jpg,,Microbial,"Meat, Dairy, Eggs, Ingredients","Business, Policy",International,,,"Fermentation—the use of fungi, bacteria, mycelium, microalgae, and other microbes as a bioproduction platform—has a long history in food production. We wouldn’t have things like beer, kimchi, or sourdough bread without it. Today, fermentation is emerging as both a key alternative protein platform in its own right and an enabler for plant-based and cultivated meat, eggs, and dairy. ","<p>Fermentation—the use of fungi, bacteria, mycelium, microalgae, and other microbes as a bioproduction platform—has a long history in food production. We wouldn’t have things like beer, kimchi, or sourdough bread without it. Today, fermentation is emerging as both a key alternative protein platform in its own right and an enabler for plant-based and cultivated meat, eggs, and dairy. </p>
<p>This report dives into the primary ways fermentation is used in alternative proteins, the competitive landscape, ingredient applications, investment trends, opportunities for innovation, a regulatory primer, new graphs and figures, and more.</p>",7691,"report cover",https://www.gfi.org/industry,"Industry Report"
